date,NO2
2025-01-01,6.444733298849314e-05
2025-01-02,6.444733298849314e-05
2025-01-03,6.444733298849314e-05
2025-01-04,6.0856566960865166e-05
2025-01-05,5.726580093323719e-05
2025-01-06,5.367503490560921e-05
2025-01-07,5.008426887798123e-05
2025-01-08,4.816661748918705e-05
2025-01-09,5.4392194821654506e-05
2025-01-10,6.061777215412197e-05
2025-01-11,6.684334948658943e-05
2025-01-12,6.946247698838956e-05
2025-01-13,7.208160449018968e-05
2025-01-14,7.470073199198981e-05
2025-01-15,7.731985949378992e-05
2025-01-16,7.993898699559005e-05
2025-01-17,8.255811449739017e-05
2025-01-18,8.51772419991903e-05
2025-01-19,8.398461068281904e-05
2025-01-20,8.279197936644778e-05
2025-01-21,8.159934805007651e-05
2025-01-22,8.040671673370525e-05
2025-01-23,7.921408541733399e-05
2025-01-24,7.802145410096273e-05
2025-01-25,7.682882278459147e-05
2025-01-26,7.56361914682202e-05
2025-01-27,7.444356015184894e-05
2025-01-28,7.325092883547768e-05
2025-01-29,7.205829751910642e-05
2025-01-30,7.086566620273516e-05
2025-01-31,6.96730348863639e-05
2025-02-01,6.848040356999263e-05
2025-02-02,6.728777225362137e-05
2025-02-03,6.609514093725011e-05
2025-02-04,6.490250962087885e-05
2025-02-05,6.370987830450758e-05
2025-02-06,6.251724698813632e-05
2025-02-07,6.382786159520037e-05
2025-02-08,6.513847620226443e-05
2025-02-09,6.914406003488693e-05
2025-02-10,7.314964386750944e-05
2025-02-11,7.715522770013195e-05
2025-02-12,8.116081153275445e-05
2025-02-13,6.350567067177812e-05
2025-02-14,4.5850529810801774e-05
2025-02-15,2.819538894982543e-05
2025-02-16,6.173886504257098e-05
2025-02-17,5.802968938111847e-05
2025-02-18,5.432051371966596e-05
2025-02-19,5.0611338058213456e-05
2025-02-20,4.690216239676095e-05
2025-02-21,4.319298673530844e-05
2025-02-22,3.9483811073855926e-05
2025-02-23,3.577463541240342e-05
2025-02-24,3.206545975095091e-05
2025-02-25,2.8356284089498404e-05
2025-02-26,2.4647108428045896e-05
2025-02-27,2.093793276659339e-05
2025-02-28,1.7228757105140874e-05
2025-03-01,1.3519581443688367e-05
2025-03-02,2.98542308883043e-05
2025-03-03,3.2099735108204186e-05
2025-03-04,2.7725910513254348e-05
2025-03-05,2.335208591830451e-05
2025-03-06,2.6276927807581767e-05
2025-03-07,2.920176969685902e-05
2025-03-08,3.212661158613628e-05
2025-03-09,3.505145347541353e-05
2025-03-10,3.7976295364690785e-05
2025-03-11,4.0901137253968045e-05
2025-03-12,5.139654349477496e-05
2025-03-13,6.189194973558188e-05
2025-03-14,7.238735597638878e-05
2025-03-15,8.28827622171957e-05
2025-03-16,9.337816845800262e-05
2025-03-17,0.00010387357469880954
2025-03-18,0.00011436898093961645
2025-03-19,0.00012486438718042336
2025-03-20,0.0001353597934212303
2025-03-21,0.0001458551996620372
2025-03-22,0.00013371930399443954
2025-03-23,0.0001215834083268419
2025-03-24,0.00010944751265924425
2025-03-25,9.73116169916466e-05
2025-03-26,8.517572132404894e-05
2025-03-27,0.0001224494626512751
2025-03-28,3.793866926571354e-05
2025-03-29,3.9666487802086135e-05
2025-03-30,4.139430633845872e-05
2025-03-31,4.312212487483131e-05
2025-04-01,4.48499434112039e-05
2025-04-02,4.657776194757649e-05
